会社名,業務内容
旭電機株式会社,ソフトウェア開発およびシステムインテグレーション事業
新星開発株式会社,電子部品の製造・販売
東洋食品株式会社,医療機器の開発・製造・販売
光金融株式会社,医療機器の開発・製造・販売
東京食品株式会社,電子部品の製造・販売
東洋電機株式会社,住宅・商業施設の設計・施工
大和商事株式会社,環境エネルギーソリューションの提供
旭金融株式会社,金融商品仲介業務およびコンサルティング
旭食品株式会社,ソフトウェア開発およびシステムインテグレーション事業
東洋食品株式会社,ソフトウェア開発およびシステムインテグレーション事業
光商事株式会社,ソフトウェア開発およびシステムインテグレーション事業
京浜食品株式会社,医療機器の開発・製造・販売
旭金融株式会社,環境エネルギーソリューションの提供
グローバル食品株式会社,ソフトウェア開発およびシステムインテグレーション事業
日本食品株式会社,化学製品の研究開発と販売
京浜物流株式会社,物流・倉庫管理サービスの提供
東洋食品株式会社,物流・倉庫管理サービスの提供
グローバル商事株式会社,環境エネルギーソリューションの提供
東京開発株式会社,教育関連事業（教材開発・塾運営）
日本商事株式会社,住宅・商業施設の設計・施工
新星製作所株式会社,自動車部品の設計・開発
日本製作所株式会社,化学製品の研究開発と販売
旭開発株式会社,教育関連事業（教材開発・塾運営）
日本テクノロジー株式会社,小売チェーンの運営およびEコマース事業
日本製作所株式会社,電子部品の製造・販売
新星テクノロジー株式会社,クラウドサービスの構築および運用支援
グローバル食品株式会社,AI技術を活用した業務効率化支援
光物流株式会社,ソフトウェア開発およびシステムインテグレーション事業
未来物流株式会社,環境エネルギーソリューションの提供
光物流株式会社,自動車部品の設計・開発
旭化学株式会社,医療機器の開発・製造・販売
京浜金融株式会社,クラウドサービスの構築および運用支援
東京建設株式会社,小売チェーンの運営およびEコマース事業
東洋商事株式会社,化学製品の研究開発と販売
未来物流株式会社,住宅・商業施設の設計・施工
東洋化学株式会社,教育関連事業（教材開発・塾運営）
大和テクノロジー株式会社,住宅・商業施設の設計・施工
新星テクノロジー株式会社,医療機器の開発・製造・販売
旭食品株式会社,医療機器の開発・製造・販売
未来テクノロジー株式会社,医療機器の開発・製造・販売
旭物流株式会社,金融商品仲介業務およびコンサルティング
東京製作所株式会社,教育関連事業（教材開発・塾運営）
東京開発株式会社,食品の輸入・製造・販売
東洋開発株式会社,小売チェーンの運営およびEコマース事業
光金融株式会社,観光業および宿泊施設の運営
東洋開発株式会社,化学製品の研究開発と販売
東京建設株式会社,住宅・商業施設の設計・施工
新星テクノロジー株式会社,金融商品仲介業務およびコンサルティング
大和物流株式会社,金融商品仲介業務およびコンサルティング
未来金融株式会社,小売チェーンの運営およびEコマース事業
未来テクノロジー株式会社,金融商品仲介業務およびコンサルティング
東京電機株式会社,環境エネルギーソリューションの提供
新星製作所株式会社,金融商品仲介業務およびコンサルティング
日本物流株式会社,食品の輸入・製造・販売
新星商事株式会社,自動車部品の設計・開発
東京開発株式会社,自動車部品の設計・開発
未来化学株式会社,金融商品仲介業務およびコンサルティング
旭物流株式会社,観光業および宿泊施設の運営
東京製作所株式会社,ソフトウェア開発およびシステムインテグレーション事業
京浜商事株式会社,住宅・商業施設の設計・施工
日本開発株式会社,AI技術を活用した業務効率化支援
新星テクノロジー株式会社,教育関連事業（教材開発・塾運営）
旭化学株式会社,食品の輸入・製造・販売
京浜建設株式会社,AI技術を活用した業務効率化支援
京浜物流株式会社,教育関連事業（教材開発・塾運営）
未来建設株式会社,観光業および宿泊施設の運営
新星製作所株式会社,ソフトウェア開発およびシステムインテグレーション事業
大和開発株式会社,化学製品の研究開発と販売
京浜テクノロジー株式会社,化学製品の研究開発と販売
新星物流株式会社,AI技術を活用した業務効率化支援
日本金融株式会社,AI技術を活用した業務効率化支援
旭テクノロジー株式会社,クラウドサービスの構築および運用支援
東洋化学株式会社,化学製品の研究開発と販売
東京商事株式会社,ソフトウェア開発およびシステムインテグレーション事業
日本建設株式会社,化学製品の研究開発と販売
京浜化学株式会社,AI技術を活用した業務効率化支援
未来電機株式会社,クラウドサービスの構築および運用支援
京浜製作所株式会社,物流・倉庫管理サービスの提供
グローバル建設株式会社,住宅・商業施設の設計・施工
光食品株式会社,ソフトウェア開発およびシステムインテグレーション事業
京浜金融株式会社,医療機器の開発・製造・販売
新星金融株式会社,物流・倉庫管理サービスの提供
東京金融株式会社,ソフトウェア開発およびシステムインテグレーション事業
日本商事株式会社,観光業および宿泊施設の運営
日本商事株式会社,環境エネルギーソリューションの提供
京浜金融株式会社,教育関連事業（教材開発・塾運営）
東京金融株式会社,医療機器の開発・製造・販売
光開発株式会社,観光業および宿泊施設の運営
光商事株式会社,自動車部品の設計・開発
新星電機株式会社,食品の輸入・製造・販売
未来テクノロジー株式会社,環境エネルギーソリューションの提供
未来開発株式会社,ソフトウェア開発およびシステムインテグレーション事業
光金融株式会社,自動車部品の設計・開発
大和開発株式会社,ソフトウェア開発およびシステムインテグレーション事業
グローバル開発株式会社,AI技術を活用した業務効率化支援
未来開発株式会社,AI技術を活用した業務効率化支援
未来金融株式会社,物流・倉庫管理サービスの提供
東洋開発株式会社,物流・倉庫管理サービスの提供
日本食品株式会社,食品の輸入・製造・販売
京浜物流株式会社,電子部品の製造・販売
